call_id,situation,cluster_id,situation_name
call_048,"The prospect did not acknowledge or engage when the rep referenced local restaurants and asked if they knew Marco Pizzeria, showing low familiarity or interest early in the call.",1,Low prospect engagement or interest
call_048,"When asked if growing online sales was important, the prospect gave a noncommittal or dismissive response, signaling low motivation to continue.",1,Low prospect engagement or interest
call_048,"The prospect gave minimal responses when asked about their online sales and DoorDash usage, indicating hesitation or lack of interest in discussing current operations.",4,Already satisfied or not ready for new online ordering solutions
call_049,The prospect expressed that they had hoped to complete setup during the previous conversation but it didn’t happen because the prior rep was in a rush.,3,Prospect unavailable or uncertain about timing
call_049,The prospect mentioned that the onboarding team had already signed off for the day and suggested scheduling the demo for tomorrow instead.,8,Scheduling or demo confirmation challenges
call_050,"The prospect indicated that their phone works but is not ideal for viewing, suggesting possible technical or logistical hesitation about joining a demo on that device.",8,Scheduling or demo confirmation challenges
call_050,The prospect showed uncertainty about the demo duration and time commitment.,8,Scheduling or demo confirmation challenges
call_050,Potential technical barrier where the prospect might need to download the Google Meets app to access the demo link.,8,Scheduling or demo confirmation challenges
call_051,The prospect expressed concern about being locked into a contract and wanted reassurance that they could leave if results were poor.,6,Prospect not ready to change systems
call_051,"The prospect asked what the next steps would be if they decided to sign up, indicating readiness but needing clarity on process.",6,Prospect not ready to change systems
call_051,"The prospect asked how long it would take to get everything set up, showing a need for timeline certainty before committing fully.",6,Prospect not ready to change systems
call_051,"The prospect mentioned they had already applied for their own app, which could create confusion or duplication of effort.",6,Prospect not ready to change systems
call_051,"The prospect indicated uncertainty about their current POS system, mentioning they were using Clover but considering a change.",6,Prospect not ready to change systems
call_052,The prospect mentioned being busy at the moment and requested to schedule a call later in the day instead of continuing the conversation.,3,Prospect unavailable or uncertain about timing
call_052,"When asked about doing the demo later that evening, the prospect declined, explaining they wanted their spouse to be present and suggested Thursday instead.",8,Scheduling or demo confirmation challenges
call_053,"When the rep attempted to book a demo, the prospect expressed disinterest, indicating that growing online sales was not a current priority.",1,Low prospect engagement or interest
call_053,"The prospect indicated that 95% of their orders already come through Toast, suggesting they are satisfied with their current online ordering setup and may not see a need for change.",4,Already satisfied or not ready for new online ordering solutions
call_053,"The rep discovered that the restaurant’s website uses SwipeBy instead of Toast for online ordering, revealing potential confusion or inefficiency in their current setup.",4,Already satisfied or not ready for new online ordering solutions
call_053,"The prospect mentioned that their SEO work is done only occasionally rather than as a regular investment, implying limited focus or budget for ongoing marketing.",6,Prospect not ready to change systems
call_054,The prospect showed uncertainty about pricing and whether the cost structure would fit their multi-location business.,2,Pricing questions and cost concerns
call_054,"The call experienced a technical interruption where the prospect temporarily dropped off, risking loss of engagement.",3,Prospect unavailable or uncertain about timing
call_054,"The prospect already uses Popmenu for their restaurant website, which could make them hesitant to switch providers or see value in another platform.",4,Already satisfied or not ready for new online ordering solutions
call_054,"The prospect expressed concern about managing two websites or domains simultaneously, indicating potential conflict with their existing setup.",6,Prospect not ready to change systems
call_054,The prospect seemed unsure about how the solution would practically outperform their current setup and competitors.,6,Prospect not ready to change systems
call_055,"The prospect showed mild curiosity but no clear buying intent, saying they were just curious about what the company had to offer.",1,Low prospect engagement or interest
call_055,"The prospect provided a vague explanation about wanting to see what the company had to offer, without specifying needs or urgency.",1,Low prospect engagement or interest
call_055,"The prospect expressed confusion when the rep asked what got them interested in Owner, indicating they did not understand the question.",7,Prospect confusion or lack of awareness
call_056,"The prospect indicated they were not currently available to talk in depth, creating a timing constraint that could block further discussion.",3,Prospect unavailable or uncertain about timing
call_056,"The prospect appeared hesitant or confused when the rep mentioned working with Toast, potentially signaling concern about switching systems or compatibility.",6,Prospect not ready to change systems
call_056,The rep needed to secure agreement for a demo or follow-up meeting after initial information sharing.,8,Scheduling or demo confirmation challenges
call_057,The prospect may be skeptical or unsure of the product’s effectiveness.,1,Low prospect engagement or interest
call_057,The prospect expresses interest in pricing and possibly hesitates to commit without knowing costs.,2,Pricing questions and cost concerns
call_057,"The prospect may be hesitant or busy, indicating difficulty coordinating with both owners for a meeting.",3,Prospect unavailable or uncertain about timing
call_057,The prospect shows uncertainty about how new customers find their restaurant and relies mainly on social media for existing customers.,4,Already satisfied or not ready for new online ordering solutions
call_057,"The prospect indicates that they are not the owner but a manager, and that two owners make decisions for the four restaurant locations.",9,Speaking with non‑owner or unavailable decision‑maker
call_058,"The prospect described frustration with DoorDash’s high commission fees and prior negative experiences, noting that family partners were resistant to using it again.",4,Already satisfied or not ready for new online ordering solutions
call_058,The prospect mentioned that their Google ranking had dropped from first to third and that rebuilding reviews was difficult after a period of inactivity.,6,Prospect not ready to change systems
call_058,"The prospect expressed confusion early in the call, asking whether Owner.com was like Toast and wanting to understand what the product actually does.",7,Prospect confusion or lack of awareness
call_058,"The prospect shared extensive background about the restaurant’s history, local economic struggles, and population decline, expressing concern about the future viability of the business.",9,Speaking with non‑owner or unavailable decision‑maker
call_058,"After discussing local competition and the need to attract a younger crowd, the prospect showed openness to solutions that could help bring in new customers.",9,Speaking with non‑owner or unavailable decision‑maker
call_059,The prospect mentioned already having a large customer base and questioned whether the service could help with retention and reorders.,0,Limited capacity or no interest in online ordering
call_059,The prospect expressed hesitation about committing before understanding what the company does and how much it costs.,2,Pricing questions and cost concerns
call_059,"The prospect pressed again for pricing details, expressing distrust about hidden costs and wanting transparency before agreeing to anything.",2,Pricing questions and cost concerns
call_059,"The prospect became busy with customers and asked to end the call, suggesting a potential loss of engagement.",3,Prospect unavailable or uncertain about timing
call_059,"The prospect revealed confusion between their restaurant and a nearby competitor with a similar name, indicating a local branding challenge.",9,Speaking with non‑owner or unavailable decision‑maker
call_060,The prospect indicated they were really busy and asked the rep to call back tomorrow.,3,Prospect unavailable or uncertain about timing
call_061,"The prospect indicated they only had two minutes available for the call, creating a time constraint that could limit engagement and information gathering.",3,Prospect unavailable or uncertain about timing
call_061,"The prospect abruptly stated they had to go, signaling potential disengagement or time exhaustion before the rep could finish qualification.",3,Prospect unavailable or uncertain about timing
call_061,The prospect expressed satisfaction with their current provider BentoBox but showed openness to exploring alternatives if something better exists.,6,Prospect not ready to change systems
call_061,"The prospect clarified that they are the general manager and sole decision maker, while the actual owner does not want to be involved in demos or discussions.",9,Speaking with non‑owner or unavailable decision‑maker
call_062,The prospect indicated they were busy and could not commit to a demo time immediately.,8,Scheduling or demo confirmation challenges
call_062,The prospect showed hesitation about scheduling a specific time for the demo.,8,Scheduling or demo confirmation challenges
call_063,The prospect showed potential hesitation about committing to a meeting or using the platform.,1,Low prospect engagement or interest
call_063,The prospect needed to decide how to communicate and schedule the meeting.,3,Prospect unavailable or uncertain about timing
call_063,"The prospect did not recognize the company or recall filling out the grader report, showing uncertainty about the context of the call.",5,Prospect confusion about caller identity and purpose
call_063,"The prospect revealed they were not the restaurant owner but seemed to consult or assist the owner, creating a gatekeeper situation.",9,Speaking with non‑owner or unavailable decision‑maker
call_064,The prospect revealed that their main constraint was operational capacity — they lacked staff to handle additional orders.,0,Limited capacity or no interest in online ordering
call_064,The prospect was not ready to move forward immediately and preferred to wait until their new location opened.,6,Prospect not ready to change systems
call_064,The prospect indicated they were handling their own marketing and did not see a need for Owner.com's services.,7,Prospect confusion or lack of awareness
call_064,The prospect mentioned they had already seen a demo about two months ago and were not currently interested in revisiting it.,8,Scheduling or demo confirmation challenges
call_065,The prospect seemed uncertain about what the call was for and whether it was the actual onboarding or just scheduling.,5,Prospect confusion about caller identity and purpose
call_065,"The rep needed payment information, which could have caused hesitation or delay if the prospect was not ready to provide it.",5,Prospect confusion about caller identity and purpose
call_065,The rep needed to confirm who would handle the onboarding scheduling and whether the current contact could commit to a time.,8,Scheduling or demo confirmation challenges
call_065,There was a moment of confusion about the correct day and time for the onboarding appointment.,8,Scheduling or demo confirmation challenges
call_066,The prospect stated they do not handle online ordering or delivery matters and that their manager is responsible for those decisions.,0,Limited capacity or no interest in online ordering
call_066,The prospect expressed confusion about the topic and asked the rep to call back at another time.,5,Prospect confusion about caller identity and purpose
call_067,The prospect’s missing Google profile prevents the rep from demonstrating the product’s value or providing an accurate quote.,1,Low prospect engagement or interest
call_067,The prospect shows mild engagement but no immediate commitment to a demo or next meeting.,1,Low prospect engagement or interest
call_067,"The prospect reveals they do not have an active Google Business Profile, which is suspended or inaccessible.",4,Already satisfied or not ready for new online ordering solutions
call_067,"The prospect mentions they are already working with someone from Google to fix their profile, creating potential confusion about overlapping efforts.",6,Prospect not ready to change systems
call_068,"The prospect did not receive the text link the rep sent, creating a delay and potential frustration during the signup process.",1,Low prospect engagement or interest
call_068,"The prospect expressed uncertainty about which pricing plan to start with, asking if the rep thought they should begin with the lower or higher tier.",2,Pricing questions and cost concerns
call_068,The prospect sought confirmation that the $249 plan still included all previously discussed features such as the app.,2,Pricing questions and cost concerns
call_068,"The prospect needed to pause the conversation briefly to handle another matter, which could have disrupted call momentum.",3,Prospect unavailable or uncertain about timing
call_068,The prospect confirmed payment completion but needed clarity on next steps for onboarding and setup.,6,Prospect not ready to change systems
call_069,"The prospect shared that their online sales vary by location, with some doing as low as $2,000 a week, raising uncertainty about meeting Owner’s minimum sales threshold.",0,Limited capacity or no interest in online ordering
call_069,The prospect appeared uncertain about providing sales receipts or whether their reported figures would qualify them for a meeting.,1,Low prospect engagement or interest
call_069,"The prospect expressed limited availability, mentioning they could meet any day except Friday and possibly later the same day.",3,Prospect unavailable or uncertain about timing
call_069,The prospect indicated they operate under a franchise and may have restrictions on using their own domain or making independent marketing decisions.,9,Speaking with non‑owner or unavailable decision‑maker
call_070,The prospect indicated they were busy and asked the rep to call the store number or speak with their manager instead of continuing the conversation personally.,3,Prospect unavailable or uncertain about timing
call_071,"The prospect indicated they were busy at the moment, which could limit their willingness to engage in a longer conversation or confirm demo details.",8,Scheduling or demo confirmation challenges
call_071,"The rep discovered that the preferred product specialist would be unavailable on the originally scheduled day, creating a potential scheduling conflict for the demo.",8,Scheduling or demo confirmation challenges
call_071,"The prospect mentioned having another restaurant, which could complicate scheduling or demo preparation if not clarified.",9,Speaking with non‑owner or unavailable decision‑maker
call_072,The prospect appeared to hesitate or have difficulty completing the payment or registration process when the rep sent the link.,1,Low prospect engagement or interest
call_072,"The prospect seemed uncertain about whether it was a good time to talk, possibly being at the restaurant and distracted.",3,Prospect unavailable or uncertain about timing
call_072,The prospect may have been concerned about timing or how quickly the onboarding and website build could happen.,6,Prospect not ready to change systems
call_072,The prospect needed to decide on a specific time for the onboarding demo call.,8,Scheduling or demo confirmation challenges
call_073,The prospect interrupts the call due to being in the middle of a lunch rush and requests to continue later in the evening.,3,Prospect unavailable or uncertain about timing
call_073,"The prospect reveals they recently signed up with Toast for their website, only about a week or two ago, indicating they are already committed to another provider.",6,Prospect not ready to change systems
call_073,"The prospect mentions they just published their website a day or two ago, implying they have not yet seen results and may be too early in the process to consider alternatives.",6,Prospect not ready to change systems
call_074,The prospect asked whether their existing Square online ordering system and kitchen printer integration would still work.,0,Limited capacity or no interest in online ordering
call_074,"The prospect mentioned being too busy due to a manager being out and focusing on operations, asking to reach back out next week instead of engaging immediately.",3,Prospect unavailable or uncertain about timing
call_074,The prospect expressed concern about losing their current website domain if they switched to Owner.com.,7,Prospect confusion or lack of awareness
call_074,The prospect was uncertain whether their current web developer owned the domain and admitted not remembering details from 10 years ago.,7,Prospect confusion or lack of awareness
call_074,"At the end of the call, the prospect said they needed to talk with their partner and could not schedule the demo immediately.",8,Scheduling or demo confirmation challenges
call_075,The prospect indicated they were busy with lunch service and asked the rep to send an email instead of continuing the conversation.,3,Prospect unavailable or uncertain about timing
call_075,The prospect expressed unfamiliarity with the company by saying they had never heard of owner.com.,7,Prospect confusion or lack of awareness
call_076,The prospect indicated they were not very tech-savvy or interested in managing online operations themselves.,1,Low prospect engagement or interest
call_076,The conversation risked losing momentum near the end as the rep transitioned to wrap-up.,3,Prospect unavailable or uncertain about timing
call_076,"The prospect appeared to rely heavily on DoorDash and did not have their own website, suggesting a potential lack of digital infrastructure or initiative.",4,Already satisfied or not ready for new online ordering solutions
call_076,The prospect did not recall the earlier demo request and seemed uncertain about Owner.com.,7,Prospect confusion or lack of awareness
call_076,The rep needed to secure a commitment for a demo time while the prospect’s availability was uncertain.,8,Scheduling or demo confirmation challenges
call_077,"The prospect signals time pressure and a need to return to work, indicating the call may end soon.",3,Prospect unavailable or uncertain about timing
call_077,The prospect indicates that the main contact (his brother) is not available and questions who the caller is and what company they represent.,5,Prospect confusion about caller identity and purpose
call_077,The prospect expresses uncertainty about why the meeting was booked and asks what the company does.,5,Prospect confusion about caller identity and purpose
call_077,"The prospect declines to join the 5 p.m. demo, saying they will be busy and that the brother will handle it.",8,Scheduling or demo confirmation challenges
